run_id,date,input,variant_slug,label,mask_style,max_side,num_inference_steps,dtype,vae_dtype,cpu_offload,alpha_threshold,guidance_scale,status,runtime_sec,run_dir,result_path,mask_path,compare_path,notes,git_commit
20260320_213033_car-palette-team-style-2k_balanced_s256_n2_bf16,2026-03-20T21:30:33,car-palette-team-style-2k.png,balanced_s256_n2,Balanced / 256 / 2 steps,balanced,256,2,bfloat16,auto,False,,1.0,success,81.44,experiments/runs/20260320_213033_car-palette-team-style-2k_balanced_s256_n2_bf16,experiments/runs/20260320_213033_car-palette-team-style-2k_balanced_s256_n2_bf16/result.rmbg.png,experiments/runs/20260320_213033_car-palette-team-style-2k_balanced_s256_n2_bf16/result.mask.png,experiments/by-input/car-palette-team-style-2k.compare.png,Safe anti-jaggy baseline.,eae9d95
20260320_213155_car-palette-team-style-2k_balanced_s256_n4_bf16,2026-03-20T21:31:55,car-palette-team-style-2k.png,balanced_s256_n4,Balanced / 256 / 4 steps,balanced,256,4,bfloat16,auto,False,,1.0,success,99.63,experiments/runs/20260320_213155_car-palette-team-style-2k_balanced_s256_n4_bf16,experiments/runs/20260320_213155_car-palette-team-style-2k_balanced_s256_n4_bf16/result.rmbg.png,experiments/runs/20260320_213155_car-palette-team-style-2k_balanced_s256_n4_bf16/result.mask.png,experiments/by-input/car-palette-team-style-2k.compare.png,Primary quality candidate on this 6GB GPU.,eae9d95
20260320_213334_car-palette-team-style-2k_balanced_s320_n2_bf16,2026-03-20T21:33:34,car-palette-team-style-2k.png,balanced_s320_n2,Balanced / 320 / 2 steps,balanced,320,2,bfloat16,auto,False,,1.0,success,89.68,experiments/runs/20260320_213334_car-palette-team-style-2k_balanced_s320_n2_bf16,experiments/runs/20260320_213334_car-palette-team-style-2k_balanced_s320_n2_bf16/result.rmbg.png,experiments/runs/20260320_213334_car-palette-team-style-2k_balanced_s320_n2_bf16/result.mask.png,experiments/by-input/car-palette-team-style-2k.compare.png,Higher mask resolution at a moderate runtime cost.,eae9d95
20260320_213504_car-palette-team-style-2k_balanced_s320_n4_bf16,2026-03-20T21:35:04,car-palette-team-style-2k.png,balanced_s320_n4,Balanced / 320 / 4 steps,balanced,320,4,bfloat16,auto,False,,1.0,success,115.06,experiments/runs/20260320_213504_car-palette-team-style-2k_balanced_s320_n4_bf16,experiments/runs/20260320_213504_car-palette-team-style-2k_balanced_s320_n4_bf16/result.rmbg.png,experiments/runs/20260320_213504_car-palette-team-style-2k_balanced_s320_n4_bf16/result.mask.png,experiments/by-input/car-palette-team-style-2k.compare.png,Stretch target for better edges if VRAM holds.,eae9d95
20260320_213659_car-palette-team-style-2k_soft_s256_n4_bf16,2026-03-20T21:36:59,car-palette-team-style-2k.png,soft_s256_n4,Soft / 256 / 4 steps,soft,256,4,bfloat16,auto,False,,1.0,success,97.97,experiments/runs/20260320_213659_car-palette-team-style-2k_soft_s256_n4_bf16,experiments/runs/20260320_213659_car-palette-team-style-2k_soft_s256_n4_bf16/result.rmbg.png,experiments/runs/20260320_213659_car-palette-team-style-2k_soft_s256_n4_bf16/result.mask.png,experiments/by-input/car-palette-team-style-2k.compare.png,Smoothest edge reference; watch for halos.,eae9d95
20260320_213837_car-palette-team-style-2k_hard_s256_n4_t128_bf16,2026-03-20T21:38:37,car-palette-team-style-2k.png,hard_s256_n4_t128,Hard / 256 / 4 steps / thr128,hard,256,4,bfloat16,auto,False,128,1.0,success,97.97,experiments/runs/20260320_213837_car-palette-team-style-2k_hard_s256_n4_t128_bf16,experiments/runs/20260320_213837_car-palette-team-style-2k_hard_s256_n4_t128_bf16/result.rmbg.png,experiments/runs/20260320_213837_car-palette-team-style-2k_hard_s256_n4_t128_bf16/result.mask.png,experiments/by-input/car-palette-team-style-2k.compare.png,Crisp reference; likely to show staircase artifacts.,eae9d95
20260320_214015_delpmaspu-2k_balanced_s256_n2_bf16,2026-03-20T21:40:15,delpmaspu-2k.png,balanced_s256_n2,Balanced / 256 / 2 steps,balanced,256,2,bfloat16,auto,False,,1.0,success,80.26,experiments/runs/20260320_214015_delpmaspu-2k_balanced_s256_n2_bf16,experiments/runs/20260320_214015_delpmaspu-2k_balanced_s256_n2_bf16/result.rmbg.png,experiments/runs/20260320_214015_delpmaspu-2k_balanced_s256_n2_bf16/result.mask.png,experiments/by-input/delpmaspu-2k.compare.png,Safe anti-jaggy baseline.,eae9d95
20260320_214135_delpmaspu-2k_balanced_s256_n4_bf16,2026-03-20T21:41:35,delpmaspu-2k.png,balanced_s256_n4,Balanced / 256 / 4 steps,balanced,256,4,bfloat16,auto,False,,1.0,success,97.09,experiments/runs/20260320_214135_delpmaspu-2k_balanced_s256_n4_bf16,experiments/runs/20260320_214135_delpmaspu-2k_balanced_s256_n4_bf16/result.rmbg.png,experiments/runs/20260320_214135_delpmaspu-2k_balanced_s256_n4_bf16/result.mask.png,experiments/by-input/delpmaspu-2k.compare.png,Primary quality candidate on this 6GB GPU.,eae9d95
20260320_214312_delpmaspu-2k_balanced_s320_n2_bf16,2026-03-20T21:43:12,delpmaspu-2k.png,balanced_s320_n2,Balanced / 320 / 2 steps,balanced,320,2,bfloat16,auto,False,,1.0,success,89.8,experiments/runs/20260320_214312_delpmaspu-2k_balanced_s320_n2_bf16,experiments/runs/20260320_214312_delpmaspu-2k_balanced_s320_n2_bf16/result.rmbg.png,experiments/runs/20260320_214312_delpmaspu-2k_balanced_s320_n2_bf16/result.mask.png,experiments/by-input/delpmaspu-2k.compare.png,Higher mask resolution at a moderate runtime cost.,eae9d95
20260320_214442_delpmaspu-2k_balanced_s320_n4_bf16,2026-03-20T21:44:42,delpmaspu-2k.png,balanced_s320_n4,Balanced / 320 / 4 steps,balanced,320,4,bfloat16,auto,False,,1.0,success,115.64,experiments/runs/20260320_214442_delpmaspu-2k_balanced_s320_n4_bf16,experiments/runs/20260320_214442_delpmaspu-2k_balanced_s320_n4_bf16/result.rmbg.png,experiments/runs/20260320_214442_delpmaspu-2k_balanced_s320_n4_bf16/result.mask.png,experiments/by-input/delpmaspu-2k.compare.png,Stretch target for better edges if VRAM holds.,eae9d95
